model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GLE Class,2019,49499,Automatic,4180,Diesel,145,36.7,3
 C Class,2019,30099,Automatic,4701,Diesel,145,54.3,1.6
 C Class,2019,32429,Automatic,1000,Diesel,145,57.7,2
 CL Class,2019,29299,Automatic,3004,Petrol,145,40.9,2
 E Class,2019,34999,Automatic,3174,Diesel,145,45.6,2
 S Class,2019,54599,Automatic,5961,Diesel,145,52.3,3
 GLE Class,2019,55199,Automatic,3029,Diesel,145,32.8,3
 C Class,2019,33599,Automatic,2679,Diesel,145,57.7,2
 GLC Class,2019,74199,Automatic,1000,Petrol,145,26.4,4
 C Class,2019,33599,Automatic,1000,Petrol,145,44.1,2
 C Class,2019,31999,Automatic,1000,Diesel,145,61.4,2
 A Class,2017,75089,Automatic,5226,Petrol,145,30.4,4
 C Class,2019,25599,Automatic,2648,Petrol,145,44.1,1.5
 CL Class,2019,27299,Automatic,3174,Petrol,145,38.2,2
 CL Class,2019,27299,Automatic,3225,Petrol,145,38.2,2
 C Class,2019,26599,Automatic,12961,Petrol,145,47.1,1.5
 E Class,2019,24999,Automatic,13302,Diesel,145,72.4,2
 C Class,2019,28099,Automatic,20001,Diesel,145,61.4,2
 C Class,2019,24599,Automatic,9905,Diesel,145,58.9,2
 GLA Class,2019,22899,Automatic,15618,Diesel,145,67.3,2.1
 GLE Class,2019,48399,Automatic,8921,Diesel,145,35.8,2
 E Class,2019,24899,Automatic,13474,Diesel,145,72.4,2
 C Class,2014,14299,Automatic,47399,Diesel,20,64.2,2.1
 E Class,2019,28699,Automatic,13217,Diesel,145,58.9,2
 C Class,2019,25389,Automatic,2000,Petrol,145,45.6,1.5
 C Class,2019,25389,Automatic,2000,Petrol,145,45.6,1.5
 GLA Class,2018,26399,Automatic,4507,Diesel,145,56.5,2.1
 A Class,2018,20899,Automatic,3166,Petrol,145,53.3,1.3
 C Class,2019,24389,Automatic,2000,Petrol,145,44.1,1.5
 E Class,2019,37999,Automatic,4366,Diesel,145,48.7,3
 C Class,2019,26899,Automatic,2000,Petrol,145,45.6,1.5
 SL CLASS,2019,49299,Automatic,670,Petrol,145,36.7,3
 A Class,2019,25639,Automatic,1892,Diesel,145,56.5,2
 A Class,2019,24519,Automatic,2486,Diesel,145,56.5,2
 GLA Class,2019,24999,Automatic,1160,Diesel,145,64.2,2.1
 E Class,2019,43649,Automatic,2396,Hybrid,135,176.6,2
 E Class,2016,15599,Automatic,36210,Diesel,125,58.9,2.1
 C Class,2015,17399,Automatic,21019,Diesel,20,64.2,2.1
 GLE Class,2017,40899,Automatic,16000,Diesel,145,39.2,3
 C Class,2017,24999,Automatic,21210,Diesel,145,65.7,2.1
 B Class,2019,22699,Automatic,13021,Petrol,145,45.6,1.3
 E Class,2019,28299,Automatic,2000,Petrol,145,39.8,2
 C Class,2019,29399,Automatic,7224,Diesel,145,61.4,2
 E Class,2017,20199,Automatic,19075,Diesel,145,72.4,2
 C Class,2019,32049,Automatic,2365,Diesel,145,57.7,2
 C Class,2018,23149,Automatic,17000,Diesel,145,61.4,2.1
 A Class,2019,21299,Automatic,6604,Petrol,145,53.3,1.3
 B Class,2019,22199,Automatic,12980,Petrol,145,45.6,1.3
 C Class,2019,28999,Automatic,4938,Diesel,145,61.4,2
 E Class,2019,24749,Automatic,15181,Diesel,145,72.4,2
 C Class,2019,20999,Automatic,9883,Diesel,145,61.4,2
 C Class,2018,18899,Automatic,13924,Petrol,145,46.3,1.5
 E Class,2017,18699,Automatic,40703,Diesel,20,72.4,2
 E Class,2016,20049,Automatic,27868,Diesel,145,54.3,3
 B Class,2019,23979,Automatic,5425,Diesel,145,55.4,2
 A Class,2019,26999,Automatic,2315,Diesel,145,56.5,2
 E Class,2019,56499,Automatic,484,Petrol,145,31.7,3
 C Class,2019,34579,Automatic,1000,Petrol,145,44.1,1.5
 A Class,2019,25149,Automatic,3890,Diesel,145,56.5,2
 A Class,2019,24519,Automatic,2882,Diesel,145,56.5,2
 GLA Class,2016,18799,Automatic,18950,Diesel,125,56.5,2.1
 GLA Class,2015,17199,Automatic,42700,Diesel,125,55.4,2.1
 E Class,2017,24299,Automatic,18701,Diesel,145,54.3,3
 B Class,2018,16299,Manual,6364,Petrol,145,49.6,1.6
 GLE Class,2017,30599,Automatic,23732,Diesel,145,47.9,2.1
 GLC Class,2020,47459,Automatic,1000,Petrol,145,26.4,3
 C Class,2016,13000,Automatic,53065,Diesel,20,65.7,2.1
 GLE Class,2015,22986,Automatic,43434,Diesel,260,42.8,3
 A Class,2019,20888,Automatic,14725,Petrol,145,45.6,2
 E Class,2017,21149,Automatic,29146,Diesel,145,65.7,2
 GLA Class,2019,24449,Automatic,10420,Petrol,145,50.4,1.6
 A Class,2017,16249,Automatic,3951,Diesel,145,74.3,1.5
 C Class,2019,25349,Automatic,9687,Petrol,145,46.3,1.5
 GLC Class,2019,30149,Automatic,10903,Diesel,145,56.5,2.1
 E Class,2018,25749,Automatic,1624,Diesel,145,61.4,2
 C Class,2019,41099,Automatic,8370,Petrol,145,29.4,3
 C Class,2019,30749,Automatic,2000,Petrol,145,44.1,2
 CL Class,2019,26299,Automatic,11347,Diesel,145,51.4,2.2
 CL Class,2019,26149,Automatic,12757,Diesel,145,51.4,2.2
 A Class,2016,12699,Manual,45252,Diesel,30,65.7,2.1
 A Class,2019,22969,Automatic,3486,Diesel,145,56.5,2
 C Class,2019,26099,Automatic,5433,Petrol,145,45.6,1.5
 SL CLASS,2017,57999,Automatic,8420,Petrol,145,28,5.5
 GLA Class,2014,15999,Automatic,33487,Diesel,145,55.4,2.1
 A Class,2018,23599,Automatic,1850,Petrol,145,53.3,1.3
 E Class,2019,36500,Automatic,5000,Hybrid,135,188.3,2
 GLC Class,2019,34500,Automatic,4000,Diesel,145,44.8,2
 A Class,2019,26100,Automatic,4000,Petrol,145,28.5,2
 GLE Class,2019,46500,Automatic,8148,Diesel,145,36.7,2
 C Class,2019,41000,Automatic,5339,Petrol,145,28.8,3
 C Class,2019,31450,Automatic,5104,Diesel,145,57.7,2
 B Class,2019,25300,Automatic,2662,Petrol,145,44.8,1.3
 GLC Class,2019,36800,Automatic,6112,Diesel,145,40.9,2
 GLC Class,2019,40000,Automatic,3860,Diesel,145,40.9,2
 A Class,2020,25879,Automatic,1000,Petrol,145,53.3,1.3
 C Class,2018,25299,Automatic,13440,Diesel,145,64.2,2
 GLC Class,2018,31994,Automatic,19339,Diesel,145,45.6,3
 C Class,2018,39000,Automatic,7011,Petrol,150,29.1,3
 C Class,2016,17500,Automatic,41758,Hybrid,0,134.5,2
 E Class,2016,19999,Automatic,27663,Diesel,30,65.7,2
 A Class,2020,22559,Manual,1000,Petrol,145,28.5,1.3
 GLC Class,2019,37189,Automatic,4500,Diesel,145,40.9,2
 B Class,2019,23979,Automatic,1000,Diesel,145,55.4,2
 A Class,2017,13849,Manual,33770,Diesel,20,72.4,1.5
 CLS Class,2019,43499,Automatic,12346,Diesel,145,47.9,2.9
 C Class,2019,19899,Automatic,13633,Petrol,145,46.3,1.5
 C Class,2019,19849,Automatic,14017,Petrol,145,46.3,1.5
 C Class,2019,21099,Automatic,4535,Petrol,145,46.3,1.5
 C Class,2019,25399,Automatic,10260,Petrol,145,44.1,1.5
 C Class,2019,26599,Automatic,8912,Diesel,145,61.4,2
 C Class,2019,25449,Automatic,13280,Petrol,145,47.1,1.5
 B Class,2020,25600,Automatic,4000,Petrol,145,44.8,1.3
 A Class,2020,26000,Automatic,4000,Petrol,145,53.3,1.3
 C Class,2019,25000,Automatic,481,Petrol,145,45.6,1.5
 GLC Class,2019,36000,Automatic,6462,Diesel,145,40.9,2
 GLC Class,2019,37000,Automatic,5529,Diesel,145,40.9,2
 C Class,2019,29000,Automatic,2198,Petrol,145,47.1,1.5
 C Class,2019,25699,Automatic,11793,Petrol,145,47.1,1.5
 GLA Class,2019,22699,Automatic,14342,Diesel,145,67.3,2.1
 B Class,2019,21549,Automatic,14387,Petrol,145,45.6,1.3
 E Class,2019,24749,Automatic,14242,Diesel,145,72.4,2
 A Class,2019,20149,Manual,9203,Petrol,145,28.5,1.3
 C Class,2019,20299,Automatic,14271,Petrol,145,46.3,1.5
 C Class,2019,29949,Automatic,8208,Diesel,145,57.7,2
 C Class,2019,20449,Automatic,13181,Petrol,145,46.3,1.5
 C Class,2019,25549,Automatic,14995,Diesel,145,61.4,2
 GLC Class,2019,35000,Automatic,5383,Diesel,145,44.8,2
 GLC Class,2019,36000,Automatic,8000,Diesel,145,40.9,2
 C Class,2019,31500,Automatic,7000,Diesel,145,57.7,2
 B Class,2019,27500,Automatic,4000,Petrol,145,37.7,2
 GLC Class,2019,40000,Automatic,4000,Diesel,145,40.9,2
 GLE Class,2019,47390,Automatic,9500,Diesel,145,36.7,2
 E Class,2019,49000,Automatic,9722,Petrol,145,32.1,3
 C Class,2016,17400,Automatic,39979,Diesel,20,65.7,2.1
 C Class,2019,26000,Automatic,6878,Petrol,150,47.1,1.5
 GLE Class,2019,50700,Automatic,6000,Diesel,145,32.8,3
 C Class,2017,24000,Automatic,17030,Diesel,125,58.9,2.1
 C Class,2014,16450,Automatic,27032,Diesel,30,64.2,2.1
 C Class,2017,19750,Automatic,27959,Petrol,150,41.5,2
 CLS Class,2019,68000,Automatic,8697,Petrol,145,31.7,3
 A Class,2020,24729,Automatic,1000,Diesel,145,67.3,1.5
 C Class,2018,15999,Automatic,41650,Diesel,145,65.7,2.1
 C Class,2019,25599,Automatic,13624,Petrol,145,46.3,1.5
 C Class,2019,24600,Automatic,9174,Petrol,145,45.6,1.5
 CL Class,2019,25500,Automatic,13663,Diesel,145,51.4,2.2
 C Class,2019,24700,Automatic,12944,Diesel,145,61.4,2
 GLC Class,2018,32750,Automatic,12431,Diesel,145,56.5,2.1
 A Class,2019,18949,Automatic,16222,Diesel,145,68.9,1.5
 A Class,2019,23500,Automatic,7261,Petrol,150,53.3,1.3
 E Class,2019,33700,Automatic,12542,Petrol,145,40.4,2
 C Class,2019,28300,Automatic,6519,Petrol,145,44.1,2
 C Class,2019,28000,Automatic,11549,Petrol,145,44.1,2
 C Class,2019,28800,Automatic,3116,Petrol,145,44.1,2
 C Class,2019,29000,Automatic,4650,Petrol,145,44.1,2
 A Class,2020,25000,Automatic,4000,Diesel,145,62.8,1.5
 A Class,2020,26000,Manual,4000,Petrol,145,44.1,1.3
 A Class,2020,25000,Automatic,4000,Petrol,145,53.3,1.3
 B Class,2020,26000,Automatic,4000,Diesel,145,55.4,2
 A Class,2018,20000,Automatic,7575,Diesel,145,65.7,1.5
 C Class,2016,21600,Automatic,33028,Diesel,30,65.7,2.1
 A Class,2019,23500,Automatic,2500,Diesel,145,56.5,2
 E Class,2019,42000,Automatic,1502,Diesel,145,47.1,3
 C Class,2019,27750,Automatic,2192,Petrol,145,46.3,1.5
 C Class,2019,29999,Automatic,13109,Diesel,145,57.7,2
 CLS Class,2019,45699,Automatic,3418,Diesel,145,47.9,2.9
 C Class,2019,30299,Automatic,2230,Diesel,145,61.4,2
 E Class,2017,23499,Automatic,40659,Diesel,145,65.7,2
 A Class,2020,25879,Automatic,1000,Petrol,145,53.3,1.3
 A Class,2020,25879,Automatic,1000,Petrol,145,53.3,1.3
 A Class,2020,25879,Automatic,1000,Petrol,145,53.3,1.3
 C Class,2018,22000,Automatic,11439,Petrol,145,46.3,1.5
 B Class,2019,20000,Automatic,13330,Petrol,145,45.6,1.3
 C Class,2019,24500,Automatic,2827,Petrol,145,45.6,1.5
 GLA Class,2016,22000,Automatic,17223,Petrol,200,43.5,2
 GLE Class,2018,41000,Automatic,4267,Diesel,145,36.7,3
 C Class,2019,30300,Automatic,4000,Diesel,145,54.3,1.6
 GLA Class,2019,26400,Automatic,4000,Petrol,145,35.8,1.6
 C Class,2019,20349,Automatic,13910,Petrol,145,46.3,1.5
 C Class,2019,25949,Automatic,12722,Diesel,145,61.4,2
 C Class,2019,25499,Automatic,15414,Diesel,145,61.4,2
 C Class,2019,25799,Automatic,10996,Petrol,145,47.1,1.5
 A Class,2019,20999,Automatic,6234,Petrol,145,53.3,1.3
 GLC Class,2019,32249,Automatic,5943,Diesel,145,42.2,2.1
 CL Class,2019,26499,Automatic,9613,Diesel,145,51.4,2.2
 C Class,2019,28499,Automatic,15096,Diesel,145,64.2,2
 A Class,2019,19099,Automatic,14708,Diesel,145,68.9,1.5
 A Class,2019,23700,Automatic,3114,Petrol,145,53.3,1.3
 B Class,2018,15000,Manual,18600,Petrol,145,49.6,1.6
 GLC Class,2019,31500,Automatic,9327,Diesel,145,44.8,2
 GLE Class,2019,56000,Automatic,7704,Petrol,145,29.5,3
 C Class,2017,19350,Automatic,35707,Diesel,30,61.4,2.1
 E Class,2019,30000,Automatic,16478,Diesel,150,58.9,2
 E Class,2019,28000,Automatic,14665,Diesel,150,65.7,2
 A Class,2016,17000,Automatic,24369,Diesel,20,68.9,2.1
 A Class,2019,23000,Automatic,5563,Diesel,150,67.3,1.5
 A Class,2019,24000,Automatic,7366,Petrol,150,53.3,1.3
 A Class,2019,24059,Automatic,1000,Diesel,145,65.7,1.5
 C Class,2019,23879,Manual,1000,Petrol,145,47.1,1.6
 C Class,2019,23879,Manual,1000,Petrol,145,47.1,1.6
 C Class,2019,23499,Manual,712,Petrol,145,47.1,1.6
 S Class,2018,58099,Automatic,2984,Diesel,145,48.7,3
 C Class,2019,29199,Automatic,4456,Petrol,145,47.1,1.5
 C Class,2019,22899,Manual,4387,Petrol,145,47.1,1.6
 C Class,2019,23299,Manual,1617,Petrol,145,47.1,1.6
 C Class,2019,29199,Automatic,1357,Petrol,145,46.3,1.5
 C Class,2019,34299,Automatic,3938,Diesel,145,55.4,2
 A Class,2019,25399,Manual,486,Petrol,145,47.1,1.3
 GLC Class,2019,66599,Automatic,2104,Petrol,145,22.4,4
 C Class,2019,31899,Automatic,4300,Petrol,145,46.3,1.5
 C Class,2019,45199,Automatic,7635,Petrol,145,30.4,3
 E Class,2019,46199,Automatic,6288,Petrol,145,32.1,3
 CL Class,2019,26699,Automatic,3034,Petrol,145,44.8,1.3
 E Class,2019,43099,Automatic,1000,Diesel,145,46.3,3
 A Class,2019,24599,Automatic,2162,Diesel,145,67.3,1.5
 CL Class,2019,29399,Automatic,2492,Petrol,145,39.8,2
 C Class,2019,33599,Automatic,1000,Petrol,145,44.1,2
 A Class,2016,15899,Automatic,34995,Diesel,20,68.9,2.1
 A Class,2019,19599,Automatic,12067,Diesel,145,68.9,1.5
 E Class,2019,35899,Automatic,5393,Diesel,145,42.8,2
 GLE Class,2019,49549,Automatic,11452,Diesel,145,35.8,2
 E Class,2019,25199,Automatic,9900,Diesel,145,72.4,2
 CLS Class,2019,47899,Automatic,4977,Diesel,145,47.9,2.9
 C Class,2016,29189,Automatic,20000,Petrol,260,36.2,3
 A Class,2019,31399,Automatic,2351,Petrol,145,35.3,2
 C Class,2019,60859,Automatic,1000,Petrol,145,28.5,4
 A Class,2019,25469,Automatic,1000,Petrol,145,28.5,2
 C Class,2019,69399,Automatic,1615,Petrol,145,28,4
 GLC Class,2019,33499,Automatic,6165,Diesel,145,44.8,2
 E Class,2019,37399,Automatic,3682,Diesel,145,57.7,2
 GLC Class,2019,66099,Automatic,2918,Petrol,145,27.4,4
 A Class,2019,24999,Automatic,1000,Diesel,145,56.5,2
 A Class,2019,25699,Automatic,3089,Diesel,145,65.7,1.5
 SL CLASS,2019,31599,Automatic,1250,Petrol,145,47.9,2
 S Class,2018,43899,Automatic,12811,Diesel,145,52.3,3
 C Class,2019,29899,Automatic,8601,Diesel,145,57.7,2
 A Class,2019,33199,Automatic,600,Petrol,145,35.8,2
 E Class,2017,21599,Automatic,28823,Diesel,20,67.3,2
 E Class,2017,19699,Automatic,31817,Diesel,30,65.7,2
 A Class,2017,14299,Manual,21125,Diesel,145,72.4,1.5
 GLC Class,2019,33449,Automatic,4623,Diesel,145,44.8,2
 GLE Class,2016,30399,Automatic,16815,Diesel,235,42.8,3
 GLA Class,2016,19849,Automatic,24463,Diesel,125,56.5,2.1
 E Class,2019,25799,Automatic,10551,Diesel,145,72.4,2
 C Class,2018,23199,Automatic,8942,Petrol,145,46.3,1.5
 B Class,2019,22099,Automatic,13747,Petrol,145,45.6,1.3
 B Class,2019,22499,Automatic,13743,Petrol,145,45.6,1.3
 E Class,2017,20299,Automatic,35958,Diesel,145,61.4,2
 C Class,2019,30799,Automatic,8947,Diesel,145,57.7,2
 E Class,2019,27949,Automatic,6149,Diesel,145,67.3,2
 C Class,2019,24299,Automatic,12546,Diesel,145,61.4,2
 A Class,2019,21599,Automatic,5000,Petrol,145,53.3,1.3
 C Class,2019,30699,Automatic,9914,Diesel,145,57.7,2
 V Class,2019,46949,Automatic,3000,Diesel,145,44.8,2.2
 GLA Class,2019,25899,Automatic,2845,Diesel,145,56.5,2.1
 B Class,2019,25999,Automatic,5265,Diesel,145,55.4,2
 GLA Class,2019,26399,Automatic,3406,Diesel,145,56.5,2.1
 C Class,2019,27499,Automatic,3325,Diesel,145,60.1,1.6
 E Class,2019,50299,Automatic,1078,Petrol,145,32.5,3
 C Class,2019,34579,Automatic,1000,Petrol,145,44.1,1.5
 C Class,2019,35539,Automatic,1000,Diesel,145,57.7,2
 GLC Class,2019,34499,Automatic,138,Diesel,145,44.8,2
 CL Class,2019,29289,Automatic,6000,Diesel,145,55.4,2
 C Class,2016,36399,Automatic,27416,Petrol,300,34.5,4
 GLA Class,2017,29449,Automatic,18277,Petrol,235,38.2,2
 C Class,2019,32899,Automatic,4378,Diesel,145,55.4,2
 C Class,2019,33299,Automatic,2838,Petrol,145,42.2,2
 C Class,2019,34099,Automatic,6033,Petrol,145,44.1,2
 C Class,2019,30499,Automatic,1126,Diesel,145,56.5,2
 SL CLASS,2019,50899,Automatic,24,Petrol,145,36.7,3
 E Class,2019,45499,Automatic,8024,Petrol,145,32.5,3
 C Class,2019,26599,Automatic,4000,Petrol,145,46.3,1.5
 C Class,2017,25999,Automatic,6600,Petrol,145,47.1,2
 GLA Class,2019,22099,Automatic,21131,Diesel,145,67.3,2.1
 C Class,2019,28589,Automatic,7075,Diesel,145,57.7,2
 GLA Class,2019,23399,Automatic,13400,Diesel,145,67.3,2.1
 C Class,2019,26589,Automatic,3762,Diesel,145,60.1,1.6
 E Class,2019,37699,Automatic,7779,Diesel,145,48.7,3
 E Class,2019,41799,Automatic,5559,Petrol,145,32.8,3
 C Class,2019,37899,Automatic,7411,Petrol,145,29.4,3
 C Class,2019,28949,Automatic,6565,Diesel,145,57.7,2
 E Class,2019,25699,Automatic,13509,Diesel,145,72.4,2
 C Class,2019,20149,Automatic,11784,Petrol,145,46.3,1.5
 C Class,2019,19899,Automatic,13347,Petrol,145,46.3,1.5
 C Class,2019,25799,Automatic,11056,Petrol,145,47.1,1.5
 C Class,2019,24549,Automatic,14642,Petrol,145,46.3,1.5
 E Class,2019,24399,Automatic,13940,Diesel,145,72.4,2
 A Class,2019,17499,Manual,14243,Petrol,145,28.5,1.3
 C Class,2019,24399,Automatic,13469,Diesel,145,58.9,2
 CL Class,2019,27399,Automatic,1938,Petrol,145,38.2,2
 A Class,2020,24889,Automatic,1000,Diesel,145,62.8,1.5
 C Class,2020,39309,Automatic,1000,Diesel,145,46.3,2
 CL Class,2017,20124,Automatic,16271,Diesel,150,67.3,2.1
 B Class,2017,16924,Automatic,10133,Diesel,150,68.9,1.5
 A Class,2017,14124,Manual,19573,Petrol,125,52.3,1.6
 GLA Class,2016,19124,Automatic,29774,Diesel,125,55.4,2.1
 C Class,2017,28624,Automatic,41045,Petrol,265,36.2,3
 GLA Class,2020,24995,Automatic,1066,Petrol,145,37.2,1.6
 A Class,2017,15824,Automatic,12050,Diesel,20,74.3,1.5
 GLS Class,2018,48899,Automatic,4278,Diesel,145,37.2,3
 SL CLASS,2017,20349,Automatic,15244,Diesel,145,70.6,2.1
 C Class,2019,41949,Automatic,11470,Petrol,145,29.7,3
 C Class,2017,23899,Automatic,20604,Diesel,145,65.7,2.1
 A Class,2016,13799,Manual,25776,Diesel,20,72.4,1.5
 C Class,2019,32099,Automatic,724,Diesel,145,64.2,2
 GLC Class,2019,41429,Automatic,1000,Diesel,145,40.4,2
 E Class,2019,24749,Automatic,14360,Diesel,145,72.4,2
 GLA Class,2019,23249,Automatic,12137,Diesel,145,67.3,2.1
 CL Class,2019,29199,Automatic,2370,Petrol,145,39.8,2
 C Class,2019,34449,Automatic,4070,Diesel,145,54.3,2
 C Class,2019,20449,Automatic,13755,Diesel,145,61.4,2
 A Class,2020,25879,Automatic,1000,Petrol,145,53.3,1.3
 E Class,2020,51379,Automatic,1000,Petrol,145,31.7,3
 GLC Class,2020,39989,Automatic,1000,Diesel,145,40.9,2
 B Class,2020,26029,Automatic,1000,Diesel,145,55.4,2
 GLE Class,2020,55489,Automatic,1000,Diesel,145,32.8,2.9
 GLA Class,2015,16299,Automatic,44588,Diesel,125,56.6,2.1
 C Class,2019,25449,Automatic,13193,Petrol,145,47.1,1.5
 C Class,2019,23949,Automatic,14658,Petrol,145,46.3,1.5
 C Class,2019,22699,Automatic,23185,Petrol,145,46.3,1.5
 C Class,2019,19849,Automatic,13977,Petrol,145,46.3,1.5
 E Class,2019,29549,Automatic,5133,Diesel,145,58.9,2
 A Class,2019,109445,Automatic,195,Petrol,145,22.6,4
 C Class,2019,30995,Automatic,6959,Diesel,145,57.7,2
 GLE Class,2019,46995,Automatic,4302,Diesel,145,36.7,2
 V Class,2019,47995,Automatic,1824,Diesel,145,36.7,2
 V Class,2019,49995,Automatic,8251,Diesel,145,36.2,2
 CLS Class,2019,44995,Automatic,4263,Diesel,145,48.7,2.9
 GLE Class,2019,57995,Automatic,5862,Petrol,145,29.5,3
 GLE Class,2019,54885,Automatic,10516,Diesel,145,32.5,3
 GLC Class,2019,46624,Automatic,10064,Petrol,145,34,3
 GLC Class,2019,54524,Automatic,7764,Petrol,145,27.4,4
 C Class,2019,29995,Automatic,14,Petrol,145,42.8,2
 C Class,2018,28374,Automatic,8962,Diesel,145,54.3,2
 CL Class,2017,19124,Manual,13122,Petrol,145,51.4,1.6
 GLC Class,2016,31695,Automatic,13778,Diesel,145,56.5,2.1
 C Class,2016,31995,Automatic,11891,Petrol,260,36.2,3
 C Class,2016,22624,Automatic,10271,Petrol,145,49.6,2
 A Class,2018,80124,Automatic,6741,Petrol,145,30.4,4
 GLC Class,2016,23924,Automatic,42381,Diesel,125,56.5,2.1
 GLC Class,2018,27974,Automatic,24199,Diesel,145,56.5,2.1
 GLC Class,2018,59124,Automatic,6982,Petrol,145,26.4,4
 C Class,2019,24724,Automatic,10545,Petrol,145,47.1,1.5
 E Class,2018,28124,Automatic,15329,Diesel,145,51.4,3
 GLS Class,2019,60124,Automatic,29,Diesel,145,34,3
 C Class,2019,31995,Automatic,37,Petrol,145,44.1,2
 C Class,2019,30995,Automatic,14,Petrol,145,42.8,2
 C Class,2019,29995,Automatic,21,Diesel,145,61.4,2
 C Class,2019,29995,Automatic,22,Diesel,145,61.4,2
 C Class,2019,29995,Automatic,13,Diesel,145,55.4,2
 C Class,2019,28995,Automatic,3000,Petrol,145,45.6,1.5
 C Class,2019,28491,Automatic,3000,Petrol,145,47.1,1.5
 C Class,2014,14491,Manual,23000,Petrol,125,52.3,2
 C Class,2017,42991,Automatic,7100,Petrol,300,34.5,4
 C Class,2016,35991,Automatic,18900,Petrol,300,34.5,4
 B Class,2019,20495,Automatic,11000,Diesel,150,58.9,1.5
 C Class,2016,16695,Automatic,41000,Diesel,30,64.2,2.1
 C Class,2015,14490,Automatic,42495,Petrol,125,52.3,2
 G Class,2018,135124,Automatic,18234,Petrol,150,21.4,4
 B Class,2019,19424,Automatic,14118,Petrol,150,45.6,1.3
 GLC Class,2020,49995,Automatic,2607,Petrol,145,27.4,3
 A Class,2020,24495,Automatic,525,Diesel,145,67.3,1.5
 GLC Class,2020,37995,Automatic,2034,Petrol,145,33.2,2
 C Class,2020,39995,Automatic,328,Petrol,145,44.1,1.5
 E Class,2020,44995,Automatic,794,Diesel,145,57.7,2
 A Class,2020,25495,Automatic,1913,Diesel,145,62.8,1.5
 GLA Class,2020,22495,Automatic,702,Petrol,145,44.8,1.6
 GLE Class,2017,28124,Automatic,33053,Diesel,200,47.9,2.1
 GLC Class,2019,34995,Automatic,9794,Diesel,145,40.9,2
 V Class,2019,47995,Automatic,677,Diesel,145,36.7,2
 C Class,2016,23991,Automatic,27500,Petrol,200,42.8,2
 C Class,2018,39991,Automatic,9000,Petrol,145,29.4,3
 A Class,2019,27495,Automatic,10000,Diesel,145,65.7,1.5
 GLA Class,2019,25599,Automatic,37,Diesel,145,64.2,2.1
 GLA Class,2019,24999,Automatic,1000,Diesel,145,64.2,2.1
 GLA Class,2019,24999,Automatic,1000,Diesel,145,64.2,2.1
 GLA Class,2019,24999,Automatic,1000,Diesel,145,64.2,2.1
 GLA Class,2019,24999,Automatic,1000,Diesel,145,64.2,2.1
 GLA Class,2019,24999,Automatic,1000,Diesel,145,64.2,2.1
 SL CLASS,2019,59899,Automatic,767,Petrol,145,29.4,3
 A Class,2019,24799,Manual,5292,Petrol,145,47.1,1.3
 C Class,2016,20449,Automatic,11017,Diesel,30,64.2,2.1
 C Class,2018,22991,Automatic,12000,Petrol,145,44.1,1.5
 GLE Class,2018,49995,Automatic,8900,Petrol,145,31.7,3
 CL Class,2018,24991,Automatic,7500,Petrol,145,44.1,1.6
 B Class,2019,26995,Automatic,3000,Diesel,145,55.4,2
 C Class,2016,17491,Automatic,18500,Diesel,20,65.7,2.1
 SL CLASS,2018,25495,Automatic,14200,Petrol,145,47.1,2
 E Class,2019,41995,Automatic,1800,Petrol,145,39.2,2
 V Class,2019,20950,Manual,35,Diesel,145,46.3,2.1
 V Class,2019,20950,Manual,10,Diesel,145,46.3,2.1
 C Class,2015,18000,Automatic,28807,Diesel,125,60.1,2.1
 GLA Class,2016,17650,Automatic,35000,Diesel,125,56.5,2.1
 A Class,2014,12900,Automatic,45844,Diesel,20,68.9,2.1
 C Class,2015,15250,Automatic,43348,Diesel,30,62.8,2.1
 A Class,2018,15495,Manual,26848,Diesel,145,68.9,1.5
 C Class,2014,10995,Automatic,39802,Diesel,145,53.3,2.1
 X Class,2019,32500,Automatic,40,Diesel,260,31.4,3
 C Class,2016,18449,Automatic,23077,Diesel,30,64.2,2.1
 GLC Class,2019,32749,Automatic,5000,Diesel,145,44.8,2
 E Class,2018,27579,Automatic,13000,Diesel,150,57.7,2
 GLE Class,2018,44738,Automatic,21276,Diesel,150,36.7,3
 A Class,2019,25300,Automatic,4200,Petrol,150,53.3,1.3
 GLC Class,2019,31000,Automatic,16313,Diesel,150,44.8,2
 C Class,2017,20700,Automatic,18346,Diesel,150,61.4,2.1
 GLC Class,2019,31500,Automatic,7399,Diesel,145,44.8,2
 GLC Class,2019,31500,Automatic,8534,Diesel,145,44.8,2
 A Class,2018,19995,Automatic,9000,Petrol,145,52.3,1.6
 SL CLASS,2018,22495,Automatic,4000,Petrol,145,48.7,1.6
 GLA Class,2020,29495,Manual,500,Petrol,145,37.2,1.6
 GLC Class,2019,35500,Automatic,5181,Diesel,145,40.9,2
 GLC Class,2019,39500,Automatic,3649,Diesel,145,40.9,2
 GLE Class,2019,56000,Automatic,8795,Diesel,145,32.5,3
 GLE Class,2019,56000,Automatic,4957,Diesel,145,32.5,3
 GLC Class,2019,31750,Automatic,5973,Diesel,145,44.8,2
 E Class,2015,19495,Automatic,24000,Petrol,160,46.3,2
 E Class,2015,17495,Automatic,29500,Diesel,145,54.3,3
 GLC Class,2016,24995,Automatic,21600,Diesel,125,56.5,2.1
 A Class,2017,15995,Automatic,42500,Petrol,125,52.3,1.6
